"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"."	"IL_161213_6301"	"IL_161213_6302"	"isotopes"	"adduct"	"pcgroup"
708.302966992709	708.302966992709	708.302966992709	2274.3148517542	2274.3148517542	2274.3148517542	1	1	47.036326675443	25.737010139917	""	""	"16"
709.066474786899	709.066474786899	709.066474786899	641.026720598515	641.026720598515	641.026720598515	1	1	214.549617020384	15.624999970152	"[36][M+2]+"	""	"2"
709.186958099414	709.185263654697	709.188652544131	322.479318719986	321.608708727706	323.349928712266	2	2	166.592176509896	45.9102231943962	"[113][M+4]+"	""	"11"
710.076163457809	710.076163457809	710.076163457809	642.146601584124	642.146601584124	642.146601584124	1	1	69.7086427558243	12.0553654020191	"[36][M+3]+"	""	"2"
710.163271643713	710.163271643713	710.163271643713	323.349928712266	323.349928712266	323.349928712266	1	1	40.6129419326784	18.0278299741012	"[113][M+5]+"	""	"11"
710.175886721172	710.175886721172	710.175886721172	252.149085762952	252.149085762952	252.149085762952	1	1	54.2717405570238	27.6415013905443	""	""	"14"
710.444323043059	710.444323043059	710.444323043059	2117.09955537801	2117.09955537801	2117.09955537801	1	1	67.7248623100087	87.0598819344013	""	""	"32"
711.070510861408	711.070510861408	711.070510861408	642.146601584124	642.146601584124	642.146601584124	1	1	38.3552408527196	6.00961406707962	"[36][M+4]+"	""	"2"
712.223816636781	712.223387065542	712.22424620802	143.239149310029	142.907769014518	143.570529605539	2	2	45.5468480893095	47.2887510924375	""	""	"37"
713.193421428149	713.193421428149	713.193421428149	322.231053227565	322.231053227565	322.231053227565	1	1	59.701236226374	50.4779196264481	""	""	"11"
713.500612392301	713.500612392301	713.500612392301	2135.17958560334	2135.17958560334	2135.17958560334	1	1	173.28439149719	99.8072386376709	""	""	"53"
714.538962226818	714.538962226818	714.538962226818	2095.62645156215	2095.62645156215	2095.62645156215	1	1	129.489578935983	191.504334094934	"[172][M]+"	""	"30"
715.443847973922	715.441975743697	715.445720204147	1969.86439088812	1969.6658018335	1970.06297994274	2	2	1008.57661273075	98.1707224396153	"[151][M]+"	""	"18"
715.529652587094	715.529652587094	715.529652587094	2094.50615771471	2094.50615771471	2094.50615771471	1	1	74.4532082876172	109.244947780098	"[172][M+1]+"	""	"30"
716.013816320837	716.013816320837	716.013816320837	1238.5854381224	1238.5854381224	1238.5854381224	1	1	97.3015072332637	19.2860044238498	"[58][M]+"	""	"3"
716.446186718926	716.446186718926	716.446186718926	1970.06297994274	1970.06297994274	1970.06297994274	1	1	468.170216345643	49.3346542420799	"[151][M+1]+"	""	"18"
717.00279999241	717.00279999241	717.00279999241	1238.5854381224	1238.5854381224	1238.5854381224	1	1	34.5417119156555	7.23043315409578	"[58][M+1]+"	""	"3"
717.454664131285	717.454664131285	717.454664131285	1970.06297994274	1970.06297994274	1970.06297994274	1	1	163.757480542369	21.5542974807466	"[151][M+2]+"	""	"18"
718.309511499287	718.309511499287	718.309511499287	2275.28450332222	2275.28450332222	2275.28450332222	1	1	41.8597050382019	43.5217509971699	""	""	"16"
718.44078090647	718.44078090647	718.44078090647	1971.18363916907	1971.18363916907	1971.18363916907	1	1	69.8847417674684	17.9181899645591	"[151][M+3]+"	""	"18"
719.466015429483	719.466015429483	719.466015429483	2119.34013584726	2119.34013584726	2119.34013584726	1	1	131.715355237638	248.045221849865	"[176][M]+"	""	"32"
720.301649237334	720.301649237334	720.301649237334	2275.28450332222	2275.28450332222	2275.28450332222	1	1	38.0305356023207	46.6248605260056	""	""	"16"
720.467631099463	720.467631099463	720.467631099463	2117.09955537801	2117.09955537801	2117.09955537801	1	1	62.1891988086792	228.003976730921	"[176][M+1]+"	""	"32"
721.161518348081	721.16004232129	721.162994374872	322.480446938534	322.231053227565	322.729840649502	2	2	100.60929601636	41.0058014772663	"[114][M]+"	""	"11"
722.155979809576	722.155979809576	722.155979809576	324.470806702036	324.470806702036	324.470806702036	1	1	50.1309124765092	21.6324812565163	"[114][M+1]+"	""	"11"
723.177690312468	723.177690312468	723.177690312468	322.231053227565	322.231053227565	322.231053227565	1	1	53.5085076982946	22.9028278851828	"[114][M+2]+"	""	"11"
724.110277086964	724.110277086964	724.110277086964	604.863860580826	604.863860580826	604.863860580826	1	1	3.60455110021939	70.2631893235126	""	""	"6"
725.11317641789	725.109514517341	725.116838318439	604.026811624549	603.743788671994	604.309834577105	2	2	40.2644271955187	109.623683058537	"[88][M]+"	""	"6"
725.996512384889	725.995514810604	725.997509959174	2253.63900857638	2253.47104229117	2253.8069748616	2	2	295.426883320033	77.9908733986304	""	""	"38"
726.096577788678	726.096577788678	726.096577788678	603.743788671994	603.743788671994	603.743788671994	1	1	20.4860969191558	34.5195180685332	"[88][M+1]+"	""	"6"
