"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"netCDF_b1"	"IL_130512_1001"	"IL_130512_1002"	"isotopes"	"adduct"	"pcgroup"
151.004088842597	151.003648414347	151.004529270847	1163.59508626086	1163.31276617615	1163.87740634558	2	2	397.767720977499	1331.4008288672	""	""	"122"
152.01153826775	152.01153826775	152.01153826775	1515.9618927062	1515.9618927062	1515.9618927062	1	1	4.87237164978283	599.457876042349	""	""	"343"
155.034563705734	155.034563705734	155.034563705734	2269.25536842504	2269.25536842504	2269.25536842504	1	1	722.837597562611	299.152601602893	""	""	"37"
156.053810231082	156.053810231082	156.053810231082	2269.25536842504	2269.25536842504	2269.25536842504	1	1	307.850420498289	249.73045242671	""	""	"37"
157.051627525809	157.051542289475	157.051712762144	2270.45423757804	2270.37650164977	2270.53197350632	2	2	1915.06282320457	561.325433591046	""	""	"37"
158.051977148575	158.051977148575	158.051977148575	2270.37650164977	2270.37650164977	2270.37650164977	1	1	725.411771612708	246.990453819836	""	""	"424"
159.067289647736	159.067289647736	159.067289647736	2270.37650164977	2270.37650164977	2270.37650164977	1	1	1054.22002570989	289.837519366029	""	"[M-H+Cl]2- 284.172 [M-2H]2- 320.148"	"37"
161.08470804055	161.08470804055	161.08470804055	2270.37650164977	2270.37650164977	2270.37650164977	1	1	501.774731447113	156.159214874373	""	""	"37"
163.113190571084	163.112833648482	163.113547493686	1886.05381911791	1885.92744207072	1886.18019616509	2	2	464.414875091813	604.833565952402	""	"[M-H-CO2]- 208.101"	"4"
163.06408922575	163.06408922575	163.06408922575	2271.49649249982	2271.49649249982	2271.49649249982	1	1	445.33274248126	77.8354730611402	""	""	"37"
165.055818817704	165.055779009516	165.055877646105	993.767666524016	993.101946004266	1006.75426657159	3	2	857.798894849868	1017.55195988197	""	""	"42"
165.041563186914	165.041244667442	165.041881706385	2198.69754428164	2196.93295253898	2200.46213602429	2	2	3355.85297081013	2000.73456576221	"[118][M]-"	"[M-H]- 166.049"	"44"
165.0415146069	165.0415146069	165.0415146069	2135.81433392933	2135.81433392933	2135.81433392933	1	1	642.136808814442	180.255661284542	""	"[M-H]- 166.049"	"90"
166.042702294701	166.042266404757	166.043138184645	2198.2806102526	2194.02685462513	2202.53436588008	2	1	323.524679442094	109.186005137644	"[118][M+1]-"	""	"44"
167.038245227983	167.038245227983	167.038245227983	2195.81180545785	2195.81180545785	2195.81180545785	1	1	211.640806637195	117.099091228783	""	""	"79"
168.034080504154	168.034080504154	168.034080504154	2269.25536842504	2269.25536842504	2269.25536842504	1	1	478.681470627125	269.185234274055	""	""	"37"
168.990476883226	168.990476883226	168.990476883226	1615.66124958839	1615.66124958839	1615.66124958839	1	1	1052.86196069559	368.0104007091	""	"[M-H-CH2]- 184.016"	"407"
169.048765723317	169.048765723317	169.048765723317	2270.37650164977	2270.37650164977	2270.37650164977	1	1	839.219871627798	340.822642692213	""	"[M-2H+Na]- 148.08"	"37"
170.049196688005	170.049196688005	170.049196688005	2269.25536842504	2269.25536842504	2269.25536842504	1	1	540.748965088511	231.688802348171	""	""	"37"
171.067478882773	171.067399042065	171.06755872348	2269.89378170244	2269.41106175511	2270.37650164977	2	2	1501.15584277005	542.002835020667	""	"[M-H-COCH2]- 214.097"	"37"
172.06372818011	172.063281406742	172.064174953477	2270.45423757804	2270.37650164977	2270.53197350632	2	2	1437.48446565425	427.735060814302	""	"[M+Cl]- 137.092"	"37"
174.078500127464	174.078500127464	174.078500127464	2271.49649249982	2271.49649249982	2271.49649249982	1	1	477.844952001879	152.472474006787	""	""	"431"
176.048289732853	176.048289732853	176.048289732853	688.036625489606	688.036625489606	688.036625489606	1	1	88.6421302795059	3412.50397765592	"[59][M]-"	"[M-H-CO2]- 221.046"	"13"
177.052798875535	177.052798875535	177.052798875535	688.036625489606	688.036625489606	688.036625489606	1	1	10.9647297048569	425.655884613237	"[59][M+1]-"	""	"355"
177.020283060821	177.020283060821	177.020283060821	1163.87740634558	1163.87740634558	1163.87740634558	1	1	65.3316546338393	349.816171111329	""	""	"62"
177.056981954755	177.056981954755	177.056981954755	968.252026761889	968.252026761889	968.252026761889	1	1	387.904151615094	36.0752418544591	""	""	"256"
179.055887082436	179.055887082436	179.055887082436	1688.96885614663	1688.96885614663	1688.96885614663	1	1	2.26820168702228	216.413673591684	""	""	"317"
179.107503820448	179.107503820448	179.107503820448	1611.18443025976	1611.18443025976	1611.18443025976	1	1	197.047824727415	41.0442325795457	""	""	"143"
179.053395201166	179.053395201166	179.053395201166	1886.18019616509	1886.18019616509	1886.18019616509	1	1	44.8829047829177	995.783827742853	""	"[M-H-C2H4]- 208.101"	"4"
181.047215685269	181.047215685269	181.047215685269	2269.25536842504	2269.25536842504	2269.25536842504	1	1	524.37712934101	26.4883672115866	""	""	"37"
182.047468587957	182.047468587957	182.047468587957	2269.25536842504	2269.25536842504	2269.25536842504	1	1	912.411339901737	255.226308803433	""	""	"37"
183.065197076636	183.06477270504	183.065621448233	2271.57411593922	2271.49649249982	2271.65173937863	2	2	472.811799785122	177.183430449804	""	"[M+Cl]- 148.08"	"37"
183.139541866978	183.139541866978	183.139541866978	1805.35702026514	1805.35702026514	1805.35702026514	1	1	19.9124181958617	203.885375004135	""	""	"475"
183.139109138339	183.139109138339	183.139109138339	1620.03564933315	1620.03564933315	1620.03564933315	1	1	23.3867839238831	159.622411341916	""	""	"43"
184.065450756974	184.064538196559	184.06636331739	2269.89367096568	2269.25536842504	2270.53197350632	2	2	890.627109955531	364.154231369284	""	""	"432"
185.07824234966	185.07824234966	185.07824234966	2267.01425237415	2267.01425237415	2267.01425237415	1	1	339.925446812063	111.45765511855	""	""	"196"
186.078423574839	186.078252733779	186.078594415898	2270.45423757804	2270.37650164977	2270.53197350632	2	2	1366.28346677397	415.499595160085	""	"[M-H-CH3]- 202.111"	"37"
187.07476758414	187.07476758414	187.07476758414	2270.37650164977	2270.37650164977	2270.37650164977	1	1	467.770040521514	168.47170084047	""	"[M-H-CH2]- 202.111"	"37"
188.096068867029	188.096068867029	188.096068867029	2270.37650164977	2270.37650164977	2270.37650164977	1	1	330.438791639588	106.796606853262	""	""	"433"
191.071665845283	191.071665845283	191.071665845283	688.036625489606	688.036625489606	688.036625489606	1	1	78.1404741082894	1075.91692611259	""	""	"356"
